index	wordform1	wordform2	wordform1_orth	wordform2_orth	stem	output
962	ɹ ɪ z ɚ v	ɹ ɪ z ɚ v d	reserve	reserved	⋊ ɹ ɪ z ɛ ɹ v ⋉	⋊ ɹ ɪ z ɛ ɹ v d ⋉
963	æ d v ə k eɪ t	æ d v ə k eɪ t ə d	advocate	advocated	⋊ ɑ d v ə k e t ⋉	⋊ ɑ d v ə k e t ɪ d ⋉
964	p oʊ k	p oʊ k t	poke	poked	⋊ p o k ⋉	⋊ p o k t ⋉
965	s ɚ v eɪ	s ɚ v eɪ d	survey	surveyed	⋊ s ɛ ɹ v e ⋉	⋊ s ɛ ɹ v e d ⋉
966	a n ɚ	a n ɚ d	honour	honoured	⋊ a n ɛ ɹ ⋉	⋊ a n ɛ ɹ d ⋉
967	s æ k ɹ ə f aɪ s	s æ k ɹ ə f aɪ s t	sacrifice	sacrificed	⋊ s ɑ k ɹ ə f a ɪ s ⋉	⋊ s ɑ k ɹ ə f a ɪ s t ⋉
968	k ʌ l t ɪ v eɪ t	k ʌ l t ɪ v eɪ t ə d	cultivate	cultivated	⋊ k ʌ l t ɪ v e t ⋉	⋊ k ʌ l t ɪ v e t ɪ d ⋉
969	ʌ t ɚ	ʌ t ɚ d	utter	uttered	⋊ ʌ t ɛ ɹ ⋉	⋊ ʌ t ɛ ɹ d ⋉
970	tʃ i t	tʃ i t ə d	cheat	cheated	⋊ t ʃ i t ⋉	⋊ t ʃ i t ɪ d ⋉
971	k ɹ aʊ tʃ	k ɹ aʊ tʃ t	crouch	crouched	⋊ k ɹ a ʊ t ʃ ⋉	⋊ k ɹ a ʊ t ʃ t ⋉
972	ɪ n h æ n s	ɪ n h æ n s t	enhance	enhanced	⋊ ɪ n h ɑ n s ⋉	⋊ ɪ n h ɑ n s t ⋉
973	ɪ k s k l eɪ m	ɪ k s k l eɪ m d	exclaim	exclaimed	⋊ ɪ k s k l e m ⋉	⋊ ɪ k s k l e m d ⋉
974	ɹ a k	ɹ a k t	rock	rocked	⋊ ɹ a k ⋉	⋊ ɹ a k t ⋉
975	k eɪ t ɚ	k eɪ t ɚ d	cater	catered	⋊ k e t ɛ ɹ ⋉	⋊ k e t ɛ ɹ d ⋉
976	k a ŋ k ɚ	k a ŋ k ɚ d	conquer	conquered	⋊ k a ŋ k ɛ ɹ ⋉	⋊ k a ŋ k ɛ ɹ d ⋉
977	ʃ eɪ v	ʃ eɪ v d	shave	shaved	⋊ ʃ e v ⋉	⋊ ʃ e v d ⋉
978	t i z	t i z d	tease	teased	⋊ t i z ⋉	⋊ t i z d ⋉
979	ɪ n t ɚ v i n	ɪ n t ɚ v i n d	intervene	intervened	⋊ ɪ n t ɛ ɹ v i n ⋉	⋊ ɪ n t ɛ ɹ v i n d ⋉
980	s æ n d w ɪ tʃ	s æ n d w ɪ tʃ t	sandwich	sandwiched	⋊ s ɑ n d w ɪ t ʃ ⋉	⋊ s ɑ n d w ɪ t ʃ t ⋉
981	b l ɪ ŋ k	b l ɪ ŋ k t	blink	blinked	⋊ b l ɪ ŋ k ⋉	⋊ b l ɪ ŋ k t ⋉
982	h ɔ n t	h ɔ n t ə d	haunt	haunted	⋊ h ɔ n t ⋉	⋊ h ɔ n t ɪ d ⋉
983	h aʊ z	h aʊ z d	house	housed	⋊ h a ʊ z ⋉	⋊ h a ʊ z d ⋉
984	s k w eɪ ɹ	s k w eɪ ɹ d	square	squared	⋊ s k w e ɹ ⋉	⋊ s k w e ɹ d ⋉
985	b ɪ w ɪ l d ɚ	b ɪ w ɪ l d ɚ d	bewilder	bewildered	⋊ b ɪ w ɪ l d ɛ ɹ ⋉	⋊ b ɪ w ɪ l d ɛ ɹ d ⋉
986	f l ʌ ʃ	f l ʌ ʃ t	flush	flushed	⋊ f l ʌ ʃ ⋉	⋊ f l ʌ ʃ t ⋉
987	m a n ɪ t ɚ	m a n ɪ t ɚ d	monitor	monitored	⋊ m a n ɪ t ɛ ɹ ⋉	⋊ m a n ɪ t ɛ ɹ d ⋉
988	w i v	w oʊ v	weave		⋊ w i v ⋉	⋊ w o v ⋉
989	h oʊ ɹ ɪ f aɪ	h oʊ ɹ ɪ f aɪ d	horrify	horrified	⋊ h o ɹ ɪ f a ɪ ⋉	⋊ h o ɹ ɪ f a ɪ d ⋉
990	ɹ ɪ s t ɹ ɪ k t	ɹ ɪ s t ɹ ɪ k t ə d	restrict	restricted	⋊ ɹ ɪ s t ɹ ɪ k t ⋉	⋊ ɹ ɪ s t ɹ ɪ k t ɪ d ⋉
991	s ɪ g n ə l	s ɪ g n ə l d	signal	signalled	⋊ s ɪ g n ə l ⋉	⋊ s ɪ g n ə l d ⋉
992	s t eɪ dʒ	s t eɪ dʒ d	stage	staged	⋊ s t e d ʒ ⋉	⋊ s t e d ʒ d ⋉
993	d ɪ p a z ɪ t	d ɪ p a z ɪ t ə d	deposit	deposited	⋊ d ɪ p a z ɪ t ⋉	⋊ d ɪ p a z ɪ t ɪ d ⋉
994	h i v	h i v d	heave	heaved	⋊ h i v ⋉	⋊ h i v d ⋉
995	ə w oʊ ɹ d	ə w oʊ ɹ d ə d	award	awarded	⋊ ə w o ɹ d ⋉	⋊ ə w o ɹ d ɪ d ⋉
996	ɪ n l a ɹ dʒ	ɪ n l a ɹ dʒ d	enlarge	enlarged	⋊ ɪ n l a ɹ d ʒ ⋉	⋊ ɪ n l a ɹ d ʒ d ⋉
997	f l ɪ k ɚ	f l ɪ k ɚ d	flicker	flickered	⋊ f l ɪ k ɛ ɹ ⋉	⋊ f l ɪ k ɛ ɹ d ⋉
998	w aɪ d ə n	w aɪ d ə n d	widen	widened	⋊ w a ɪ d ə n ⋉	⋊ w a ɪ d ə n d ⋉
999	s t æ g ɚ	s t æ g ɚ d	stagger	staggered	⋊ s t ɑ g ɛ ɹ ⋉	⋊ s t ɑ g ɛ ɹ d ⋉
1000	s t ɛ m	s t ɛ m d	stem	stemmed	⋊ s t ɛ m ⋉	⋊ s t ɛ m d ⋉
1001	ə s t a n ɪ ʃ	ə s t a n ɪ ʃ t	astonish	astonished	⋊ ə s t a n ɪ ʃ ⋉	⋊ ə s t a n ɪ ʃ t ⋉
1002	ɹ eɪ dʒ	ɹ eɪ dʒ d	rage	raged	⋊ ɹ e d ʒ ⋉	⋊ ɹ e d ʒ d ⋉
1003	t a p	t a p t	top	topped	⋊ t a p ⋉	⋊ t a p t ⋉
1004	d ɪ s i v	d ɪ s i v d	deceive	deceived	⋊ d ɪ s i v ⋉	⋊ d ɪ s i v d ⋉
1005	h ɔ l	h ɔ l d	haul	hauled	⋊ h ɔ l ⋉	⋊ h ɔ l d ⋉
1006	m ə n ɪ p j ʊ l eɪ t	m ə n ɪ p j ʊ l eɪ t ə d	manipulate	manipulated	⋊ m ə n ɪ p j ʊ l e t ⋉	⋊ m ə n ɪ p j ʊ l e t ɪ d ⋉
1007	m oʊ n	m oʊ n d	moan	moaned	⋊ m o n ⋉	⋊ m o n d ⋉
1008	ɹ i g eɪ n	ɹ i g eɪ n d	regain	regained	⋊ ɹ i g e n ⋉	⋊ ɹ i g e n d ⋉
1009	s t ɹ aɪ v	s t ɹ oʊ v	strive	strove	⋊ s t ɹ a ɪ v ⋉	⋊ s t ɹ o v ⋉
1010	k a n t æ k t	k a n t æ k t ə d	contact	contacted	⋊ k a n t ɑ k t ⋉	⋊ k a n t ɑ k t ɪ d ⋉
1011	p ʌ z ə l	p ʌ z ə l d	puzzle	puzzled	⋊ p ʌ z ə l ⋉	⋊ p ʌ z ə l d ⋉
1012	ə t eɪ n	ə t eɪ n d	attain	attained	⋊ ə t e n ⋉	⋊ ə t e n d ⋉
1013	w ɪ p	w ɪ p t	whip	whipped	⋊ w ɪ p ⋉	⋊ w ɪ p t ⋉
1014	d ɪ k t eɪ t	d ɪ k t eɪ t ə d	dictate	dictated	⋊ d ɪ k t e t ⋉	⋊ d ɪ k t e t ɪ d ⋉
1015	f oʊ ɹ m j ʊ l eɪ t	f oʊ ɹ m j ʊ l eɪ t ə d	formulate	formulated	⋊ f o ɹ m j ʊ l e t ⋉	⋊ f o ɹ m j ʊ l e t ɪ d ⋉
1016	f ʌ ŋ k ʃ ə n	f ʌ ŋ k ʃ ə n d	function	functioned	⋊ f ʌ ŋ k ʃ ə n ⋉	⋊ f ʌ ŋ k ʃ ə n d ⋉
1017	ɪ m p l ə m ɛ n t	ɪ m p l ə m ɛ n t ə d	implement	implemented	⋊ ɪ m p l ə m ɛ n t ⋉	⋊ ɪ m p l ə m ɛ n t ɪ d ⋉
1018	v ɛ n tʃ ɚ	v ɛ n tʃ ɚ d	venture	ventured	⋊ v ɛ n t ʃ ɛ ɹ ⋉	⋊ v ɛ n t ʃ ɛ ɹ d ⋉
1019	p ɹ i tʃ	p ɹ i tʃ t	preach	preached	⋊ p ɹ i t ʃ ⋉	⋊ p ɹ i t ʃ t ⋉
1020	ɹ ɪ s t ɹ eɪ n	ɹ ɪ s t ɹ eɪ n d	restrain	restrained	⋊ ɹ ɪ s t ɹ e n ⋉	⋊ ɹ ɪ s t ɹ e n d ⋉
1021	s t ɹ oʊ l	s t ɹ oʊ l d	stroll	strolled	⋊ s t ɹ o l ⋉	⋊ s t ɹ o l d ⋉
1022	d æ ʃ	d æ ʃ t	dash	dashed	⋊ d ɑ ʃ ⋉	⋊ d ɑ ʃ t ⋉
1023	ɪ g z æ dʒ ə ɹ eɪ t	ɪ g z æ dʒ ə ɹ eɪ t ə d	exaggerate	exaggerated	⋊ ɪ g z ɑ d ʒ ə ɹ e t ⋉	⋊ ɪ g z ɑ d ʒ ə ɹ e t ɪ d ⋉
1024	ɛ k s ə k j u t	ɛ k s ə k j u t ə d	execute	executed	⋊ ɛ k s ə k j u t ⋉	⋊ ɛ k s ə k j u t ɪ d ⋉
1025	f ʌ n d	f ʌ n d ə d	fund	funded	⋊ f ʌ n d ⋉	⋊ f ʌ n d ɪ d ⋉
1026	ʃ ʌ d ɚ	ʃ ʌ d ɚ d	shudder	shuddered	⋊ ʃ ʌ d ɛ ɹ ⋉	⋊ ʃ ʌ d ɛ ɹ d ⋉
1027	d æ z ə l	d æ z ə l d	dazzle	dazzled	⋊ d ɑ z ə l ⋉	⋊ d ɑ z ə l d ⋉
1028	ɹ ɪ k w ɛ s t	ɹ ɪ k w ɛ s t ə d	request	requested	⋊ ɹ ɪ k w ɛ s t ⋉	⋊ ɹ ɪ k w ɛ s t ɪ d ⋉
1029	b oʊ l	b oʊ l d	bowl	bowled	⋊ b o l ⋉	⋊ b o l d ⋉
1030	ɪ g z ɚ t	ɪ g z ɚ t ə d	exert	exerted	⋊ ɪ g z ɛ ɹ t ⋉	⋊ ɪ g z ɛ ɹ t ɪ d ⋉
1031	f l æ t ɚ	f l æ t ɚ d	flatter	flattered	⋊ f l ɑ t ɛ ɹ ⋉	⋊ f l ɑ t ɛ ɹ d ⋉
1032	s n ɪ f	s n ɪ f t	sniff	sniffed	⋊ s n ɪ f ⋉	⋊ s n ɪ f t ⋉
1033	k a m	k a m d	calm	calmed	⋊ k a m ⋉	⋊ k a m d ⋉
1034	k æ m p eɪ n	k æ m p eɪ n d	campaign	campaigned	⋊ k ɑ m p e n ⋉	⋊ k ɑ m p e n d ⋉
1035	g ɹ æ dʒ u eɪ t	g ɹ æ dʒ u eɪ t ə d	graduate	graduated	⋊ g ɹ ɑ d ʒ u e t ⋉	⋊ g ɹ ɑ d ʒ u e t ɪ d ⋉
1036	k w ɪ t	k w ɪ t	quit	quitted	⋊ k w ɪ t ⋉	⋊ k w ɪ t ⋉
1037	w ɪ s ə l	w ɪ s ə l d	whistle	whistled	⋊ w ɪ s ə l ⋉	⋊ w ɪ s ə l d ⋉
1038	f ɹ eɪ m	f ɹ eɪ m d	frame	framed	⋊ f ɹ e m ⋉	⋊ f ɹ e m d ⋉
1039	w ɛ l ʃ	w ɛ l ʃ t	welsh	welshed	⋊ w ɛ l ʃ ⋉	⋊ w ɛ l ʃ t ⋉
1040	b a m	b a m d	bomb	bombed	⋊ b a m ⋉	⋊ b a m d ⋉
1041	d aɪ v	d oʊ v	dive	dived	⋊ d a ɪ v ⋉	⋊ d o v ⋉
1042	ɪ n v ɪ z ɪ dʒ	ɪ n v ɪ z ɪ dʒ d	envisage	envisaged	⋊ ɪ n v ɪ z ɪ d ʒ ⋉	⋊ ɪ n v ɪ z ɪ d ʒ d ⋉
1043	f l ʌ t ɚ	f l ʌ t ɚ d	flutter	fluttered	⋊ f l ʌ t ɛ ɹ ⋉	⋊ f l ʌ t ɛ ɹ d ⋉
1044	s oʊ	s oʊ d	sow	sowed	⋊ s o ⋉	⋊ s o d ⋉
1045	s t ɹ aɪ d	s t ɹ oʊ d	stride	strode	⋊ s t ɹ a ɪ d ⋉	⋊ s t ɹ o d ⋉
1046	k l æ s p	k l æ s p t	clasp	clasped	⋊ k l ɑ s p ⋉	⋊ k l ɑ s p t ⋉
1047	h ɚ l	h ɚ l d	hurl	hurled	⋊ h ɛ ɹ l ⋉	⋊ h ɛ ɹ l d ⋉
1048	k ɔ f	k ɔ f t	cough	coughed	⋊ k ɔ f ⋉	⋊ k ɔ f t ⋉
1049	h æ m ɚ	h æ m ɚ d	hammer	hammered	⋊ h ɑ m ɛ ɹ ⋉	⋊ h ɑ m ɛ ɹ d ⋉
1050	ɪ m ə t eɪ t	ɪ m ə t eɪ t ə d	imitate	imitated	⋊ ɪ m ə t e t ⋉	⋊ ɪ m ə t e t ɪ d ⋉
1051	p ɹ ɪ s i d	p ɹ ɪ s i d ə d	precede	preceded	⋊ p ɹ ɪ s i d ⋉	⋊ p ɹ ɪ s i d ɪ d ⋉
1052	s ɛ n t ɚ	s ɛ n t ɚ d	centre	centred	⋊ s ɛ n t ɛ ɹ ⋉	⋊ s ɛ n t ɛ ɹ d ⋉
1053	k ɚ v	k ɚ v d	curve	curved	⋊ k ɛ ɹ v ⋉	⋊ k ɛ ɹ v d ⋉
1054	s k ɹ eɪ p	s k ɹ eɪ p t	scrape	scraped	⋊ s k ɹ e p ⋉	⋊ s k ɹ e p t ⋉
1055	v a m ɪ t	v a m ɪ t ə d	vomit	vomited	⋊ v a m ɪ t ⋉	⋊ v a m ɪ t ɪ d ⋉
1056	h ɔ l t	h ɔ l t ə d	halt	halted	⋊ h ɔ l t ⋉	⋊ h ɔ l t ɪ d ⋉
1057	ɛ n v i	ɛ n v i d	envy	envied	⋊ ɛ n v i ⋉	⋊ ɛ n v i d ⋉
1058	s u	s u d	sue	sued	⋊ s u ⋉	⋊ s u d ⋉
1059	m a ɹ k ɪ t	m a ɹ k ɪ t ə d	market	marketed	⋊ m a ɹ k ɪ t ⋉	⋊ m a ɹ k ɪ t ɪ d ⋉
1060	s k w a t	s k w a t ə d	squat	squatted	⋊ s k w a t ⋉	⋊ s k w a t ɪ d ⋉
1061	eɪ k	eɪ k t	ache	ached	⋊ e k ⋉	⋊ e k t ⋉
1062	ə d oʊ ɹ	ə d oʊ ɹ d	adore	adored	⋊ ə d o ɹ ⋉	⋊ ə d o ɹ d ⋉
1063	s ɚ k j ʊ l eɪ t	s ɚ k j ʊ l eɪ t ə d	circulate	circulated	⋊ s ɛ ɹ k j ʊ l e t ⋉	⋊ s ɛ ɹ k j ʊ l e t ɪ d ⋉
1064	i ɹ ɛ k t	i ɹ ɛ k t ə d	erect	erected	⋊ i ɹ ɛ k t ⋉	⋊ i ɹ ɛ k t ɪ d ⋉
1065	ɪ g z ɪ b ɪ t	ɪ g z ɪ b ɪ t ə d	exhibit	exhibited	⋊ ɪ g z ɪ b ɪ t ⋉	⋊ ɪ g z ɪ b ɪ t ɪ d ⋉
1066	s t ʌ n	s t ʌ n d	stun	stunned	⋊ s t ʌ n ⋉	⋊ s t ʌ n d ⋉
1067	b l ɚ	b l ɚ d	blur	blurred	⋊ b l ɛ ɹ ⋉	⋊ b l ɛ ɹ d ⋉
1068	k a m b æ t	k a m b æ t ə d	combat	combatted	⋊ k a m b ɑ t ⋉	⋊ k a m b ɑ t ɪ d ⋉
1069	k a m p ɛ n s eɪ t	k a m p ɛ n s eɪ t ə d	compensate	compensated	⋊ k a m p ɛ n s e t ⋉	⋊ k a m p ɛ n s e t ɪ d ⋉
1070	g l eɪ ɹ	g l eɪ ɹ d	glare	glared	⋊ g l e ɹ ⋉	⋊ g l e ɹ d ⋉
1071	p ɹ oʊ g ɹ æ m	p ɹ oʊ g ɹ æ m d	programme	programmed	⋊ p ɹ o g ɹ ɑ m ⋉	⋊ p ɹ o g ɹ ɑ m d ⋉
1072	d aɪ v ɚ t	d aɪ v ɚ t ə d	divert	diverted	⋊ d a ɪ v ɛ ɹ t ⋉	⋊ d a ɪ v ɛ ɹ t ɪ d ⋉
1073	s ə b dʒ ɛ k t	s ə b dʒ ɛ k t ə d	subject	subjected	⋊ s ə b d ʒ ɛ k t ⋉	⋊ s ə b d ʒ ɛ k t ɪ d ⋉
1074	t ɹ ɛ d	t ɹ a d	tread	trod	⋊ t ɹ ɛ d ⋉	⋊ t ɹ a d ⋉
1075	ɪ n t ɹ i g	ɪ n t ɹ i g d	intrigue	intrigued	⋊ ɪ n t ɹ i g ⋉	⋊ ɪ n t ɹ i g d ⋉
1076	l ɛ v ə l	l ɛ v ə l d	level	levelled	⋊ l ɛ v ə l ⋉	⋊ l ɛ v ə l d ⋉
1077	l ɪ ŋ g ɚ	l ɪ ŋ g ɚ d	linger	lingered	⋊ l ɪ ŋ g ɛ ɹ ⋉	⋊ l ɪ ŋ g ɛ ɹ d ⋉
1078	ʃ ʌ v	ʃ ʌ v d	shove	shoved	⋊ ʃ ʌ v ⋉	⋊ ʃ ʌ v d ⋉
1079	h ʌ v ɚ	h ʌ v ɚ d	hover	hovered	⋊ h ʌ v ɛ ɹ ⋉	⋊ h ʌ v ɛ ɹ d ⋉
1080	n æ ʃ ə n ə l aɪ z	n æ ʃ ə n ə l aɪ z d	nationalize	nationalized	⋊ n ɑ ʃ ə n ə l a ɪ z ⋉	⋊ n ɑ ʃ ə n ə l a ɪ z d ⋉
1081	s t eɪ n	s t eɪ n d	stain	stained	⋊ s t e n ⋉	⋊ s t e n d ⋉
1082	θ ɹ aɪ v	θ ɹ aɪ v d	thrive	thrived	⋊ θ ɹ a ɪ v ⋉	⋊ θ ɹ a ɪ v d ⋉
1083	ə w eɪ k ə n	ə w eɪ k ə n d	awaken	awakened	⋊ ə w e k ə n ⋉	⋊ ə w e k ə n d ⋉
1084	aɪ s ə l eɪ t	aɪ s ə l eɪ t ə d	isolate	isolated	⋊ a ɪ s ə l e t ⋉	⋊ a ɪ s ə l e t ɪ d ⋉
1085	m ɚ dʒ	m ɚ dʒ d	merge	merged	⋊ m ɛ ɹ d ʒ ⋉	⋊ m ɛ ɹ d ʒ d ⋉
1086	f oʊ t ə g ɹ æ f	f oʊ t ə g ɹ æ f t	photograph	photographed	⋊ f o t ə g ɹ ɑ f ⋉	⋊ f o t ə g ɹ ɑ f t ⋉
1087	p ɹ a m p t	p ɹ a m p t ə d	prompt	prompted	⋊ p ɹ a m p t ⋉	⋊ p ɹ a m p t ɪ d ⋉
1088	s ʌ b s ɪ d aɪ z	s ʌ b s ɪ d aɪ z d	subsidize	subsidized	⋊ s ʌ b s ɪ d a ɪ z ⋉	⋊ s ʌ b s ɪ d a ɪ z d ⋉
1089	b oʊ s t	b oʊ s t ə d	boast	boasted	⋊ b o s t ⋉	⋊ b o s t ɪ d ⋉
1090	d ɪ b eɪ t	d ɪ b eɪ t ə d	debate	debated	⋊ d ɪ b e t ⋉	⋊ d ɪ b e t ɪ d ⋉
1091	f oʊ ɹ s i	f oʊ ɹ s ɔ	foresee	foresaw	⋊ f o ɹ s i ⋉	⋊ f o ɹ s ɔ ⋉
1092	ʃ ʌ f ə l	ʃ ʌ f ə l d	shuffle	shuffled	⋊ ʃ ʌ f ə l ⋉	⋊ ʃ ʌ f ə l d ⋉
1093	ə d m ɪ n ə s t ɚ	ə d m ɪ n ə s t ɚ d	administer	administered	⋊ ə d m ɪ n ə s t ɛ ɹ ⋉	⋊ ə d m ɪ n ə s t ɛ ɹ d ⋉
1094	k ə n f oʊ ɹ m	k ə n f oʊ ɹ m d	conform	conformed	⋊ k ə n f o ɹ m ⋉	⋊ k ə n f o ɹ m d ⋉
1095	p oʊ s t p oʊ n	p oʊ s t p oʊ n d	postpone	postponed	⋊ p o s t p o n ⋉	⋊ p o s t p o n d ⋉
1096	tʃ æ t	tʃ æ t ə d	chat	chatted	⋊ t ʃ ɑ t ⋉	⋊ t ʃ ɑ t ɪ d ⋉
1097	k aʊ n t ɚ	k aʊ n t ɚ d	counter	countered	⋊ k a ʊ n t ɛ ɹ ⋉	⋊ k a ʊ n t ɛ ɹ d ⋉
1098	d a ɹ k ə n	d a ɹ k ə n d	darken	darkened	⋊ d a ɹ k ə n ⋉	⋊ d a ɹ k ə n d ⋉
1099	d ɪ p ɪ k t	d ɪ p ɪ k t ə d	depict	depicted	⋊ d ɪ p ɪ k t ⋉	⋊ d ɪ p ɪ k t ɪ d ⋉
1100	d ɹ ɪ l	d ɹ ɪ l d	drill	drilled	⋊ d ɹ ɪ l ⋉	⋊ d ɹ ɪ l d ⋉
1101	ɹ a t	ɹ a t ə d	rot	rotted	⋊ ɹ a t ⋉	⋊ ɹ a t ɪ d ⋉
1102	s l aɪ s	s l aɪ s t	slice	sliced	⋊ s l a ɪ s ⋉	⋊ s l a ɪ s t ⋉
1103	k l æ p	k l æ p t	clap	clapped	⋊ k l ɑ p ⋉	⋊ k l ɑ p t ⋉
1104	ɹ ɪ p eɪ ɹ	ɹ ɪ p eɪ ɹ d	repair	repaired	⋊ ɹ ɪ p e ɹ ⋉	⋊ ɹ ɪ p e ɹ d ⋉
1105	ʃ ɹ i k	ʃ ɹ i k t	shriek	shrieked	⋊ ʃ ɹ i k ⋉	⋊ ʃ ɹ i k t ⋉
1106	ɪ k s aɪ t	ɪ k s aɪ t ə d	excite	excited	⋊ ɪ k s a ɪ t ⋉	⋊ ɪ k s a ɪ t ɪ d ⋉
1107	ɪ m b a ɹ k	ɪ m b a ɹ k t	embark	embarked	⋊ ɪ m b a ɹ k ⋉	⋊ ɪ m b a ɹ k t ⋉
1108	ɪ n h æ b ɪ t	ɪ n h æ b ɪ t ə d	inhabit	inhabited	⋊ ɪ n h ɑ b ɪ t ⋉	⋊ ɪ n h ɑ b ɪ t ɪ d ⋉
1109	s t ɹ æ ŋ g ə l	s t ɹ æ ŋ g ə l d	strangle	strangled	⋊ s t ɹ ɑ ŋ g ə l ⋉	⋊ s t ɹ ɑ ŋ g ə l d ⋉
1110	s t ɹ ʌ k tʃ ɚ	s t ɹ ʌ k tʃ ɚ d	structure	structured	⋊ s t ɹ ʌ k t ʃ ɛ ɹ ⋉	⋊ s t ɹ ʌ k t ʃ ɛ ɹ d ⋉
1111	d ɪ n aʊ n s	d ɪ n aʊ n s t	denounce	denounced	⋊ d ɪ n a ʊ n s ⋉	⋊ d ɪ n a ʊ n s t ⋉
1112	ɪ n s ɚ t	ɪ n s ɚ t ə d	insert	inserted	⋊ ɪ n s ɛ ɹ t ⋉	⋊ ɪ n s ɛ ɹ t ɪ d ⋉
1113	p ɹ ɪ z u m	p ɹ ɪ z u m d	presume	presumed	⋊ p ɹ ɪ z u m ⋉	⋊ p ɹ ɪ z u m d ⋉
1114	p ɹ ɪ v eɪ l	p ɹ ɪ v eɪ l d	prevail	prevailed	⋊ p ɹ ɪ v e l ⋉	⋊ p ɹ ɪ v e l d ⋉
1115	p ɹ ɪ s k ɹ aɪ b	p ɹ ɪ s k ɹ aɪ b d	prescribe	prescribed	⋊ p ɹ ɪ s k ɹ a ɪ b ⋉	⋊ p ɹ ɪ s k ɹ a ɪ b d ⋉
1116	s p ɹ ɪ ŋ k ə l	s p ɹ ɪ ŋ k ə l d	sprinkle	sprinkled	⋊ s p ɹ ɪ ŋ k ə l ⋉	⋊ s p ɹ ɪ ŋ k ə l d ⋉
1117	d ɪ f aɪ	d ɪ f aɪ d	defy	defied	⋊ d ɪ f a ɪ ⋉	⋊ d ɪ f a ɪ d ⋉
1118	d ɪ p l ɔɪ	d ɪ p l ɔɪ d	deploy	deployed	⋊ d ɪ p l ɔ ɪ ⋉	⋊ d ɪ p l ɔ ɪ d ⋉
1119	h ʌ g	h ʌ g d	hug	hugged	⋊ h ʌ g ⋉	⋊ h ʌ g d ⋉
1120	k ɪ d	k ɪ d ə d	kid	kidded	⋊ k ɪ d ⋉	⋊ k ɪ d ɪ d ⋉
1121	s t ɹ i m	s t ɹ i m d	stream	streamed	⋊ s t ɹ i m ⋉	⋊ s t ɹ i m d ⋉
1122	k oʊ a p ə ɹ eɪ t	k oʊ a p ə ɹ eɪ t ə d	cooperate	cooperated	⋊ k o a p ə ɹ e t ⋉	⋊ k o a p ə ɹ e t ɪ d ⋉
1123	dʒ oʊ k	dʒ oʊ k t	joke	joked	⋊ d ʒ o k ⋉	⋊ d ʒ o k t ⋉
1124	b ʌ l dʒ	b ʌ l dʒ d	bulge	bulged	⋊ b ʌ l d ʒ ⋉	⋊ b ʌ l d ʒ d ⋉
1125	s ɚ k ə l	s ɚ k ə l d	circle	circled	⋊ s ɛ ɹ k ə l ⋉	⋊ s ɛ ɹ k ə l d ⋉
1126	s oʊ	s oʊ d	sew	sewed	⋊ s o ⋉	⋊ s o d ⋉
1127	eɪ l	eɪ l d	ail	ailed	⋊ e l ⋉	⋊ e l d ⋉
1128	k ə m p ɹ aɪ z	k ə m p ɹ aɪ z d	comprise	comprised	⋊ k ə m p ɹ a ɪ z ⋉	⋊ k ə m p ɹ a ɪ z d ⋉
1129	g ɹ oʊ n	g ɹ oʊ n d	groan	groaned	⋊ g ɹ o n ⋉	⋊ g ɹ o n d ⋉
1130	h ʌ m	h ʌ m d	hum	hummed	⋊ h ʌ m ⋉	⋊ h ʌ m d ⋉
1131	t ʌ m b ə l	t ʌ m b ə l d	tumble	tumbled	⋊ t ʌ m b ə l ⋉	⋊ t ʌ m b ə l d ⋉
1132	h j u m ɪ l i eɪ t	h j u m ɪ l i eɪ t ə d	humiliate	humiliated	⋊ h j u m ɪ l i e t ⋉	⋊ h j u m ɪ l i e t ɪ d ⋉
1133	dʒ æ m	dʒ æ m d	jam	jammed	⋊ d ʒ ɑ m ⋉	⋊ d ʒ ɑ m d ⋉
1134	k w ɪ v ɚ	k w ɪ v ɚ d	quiver	quivered	⋊ k w ɪ v ɛ ɹ ⋉	⋊ k w ɪ v ɛ ɹ d ⋉
1135	t ɹ æ k	t ɹ æ k t	track	tracked	⋊ t ɹ ɑ k ⋉	⋊ t ɹ ɑ k t ⋉
1136	ɹ oʊ t eɪ t	ɹ oʊ t eɪ t ə d	rotate	rotated	⋊ ɹ o t e t ⋉	⋊ ɹ o t e t ɪ d ⋉
1137	s m u ð	s m u ð d	smooth	smoothed	⋊ s m u ð ⋉	⋊ s m u ð d ⋉
1138	s t æ k	s t æ k t	stack	stacked	⋊ s t ɑ k ⋉	⋊ s t ɑ k t ⋉
1139	ɪ n f ɛ k t	ɪ n f ɛ k t ə d	infect	infected	⋊ ɪ n f ɛ k t ⋉	⋊ ɪ n f ɛ k t ɪ d ⋉
1140	k ɹ ʌ m b ə l	k ɹ ʌ m b ə l d	crumble	crumbled	⋊ k ɹ ʌ m b ə l ⋉	⋊ k ɹ ʌ m b ə l d ⋉
1141	l ɪ k	l ɪ k t	lick	licked	⋊ l ɪ k ⋉	⋊ l ɪ k t ⋉
1142	s k ɛ dʒ u ə l	s k ɛ dʒ u ə l d	schedule	scheduled	⋊ s k ɛ d ʒ u ə l ⋉	⋊ s k ɛ d ʒ u ə l d ⋉
