stem	output	model_rating	rule_idx	wordform1	wordform2
⋊ ʃ ɛ l t s ə n ⋉	⋊ ʃ ɔ l t s ə n ⋉	0.46585045016278476	9613.0	ʃ ɛ l t s ə n	ɡ ə ʃ ɔ l t s ə n
⋊ ʃ ɪ s ə n ⋉	⋊ ʃ ʊ s ə n ⋉			ʃ ɪ s ə n	ɡ ə ʃ ʊ s ə n
⋊ ʃ ɪ s ə n ⋉	⋊ ʃ ʊ s t ⋉			ʃ ɪ s ə n	ɡ ə ʃ ʊ s t
⋊ ʃ p a i n ə n ⋉	⋊ ʃ p a i n t ⋉	0.8478608772434439	3446.0	ʃ p ai̯ n ə n	ɡ ə ʃ p ai̯ n t
⋊ ʃ p a i n ə n ⋉	⋊ ʃ p iː n ə n ⋉	0.16830672858472603	11975.0	ʃ p ai̯ n ə n	ɡ ə ʃ p iː n ə n
⋊ ʃ p r eː b ə n ⋉	⋊ ʃ p r eː p t ⋉	0.5852723921831766	8340.0	ʃ p r eː b ə n	ɡ ə ʃ p r eː p t
⋊ ʃ p r eː b ə n ⋉	⋊ ʃ p r oː b ə n ⋉			ʃ p r eː b ə n	ɡ ə ʃ p r oː b ə n
⋊ ʃ t a i x ə n ⋉	⋊ ʃ t iː x ə n ⋉			ʃ t ai̯ x ə n	ɡ ə ʃ t iː x ə n
⋊ ʃ t a i x ə n ⋉	⋊ ʃ t a i x t ⋉	0.6538247311243649	7591.0	ʃ t ai̯ x ə n	ɡ ə ʃ t ai̯ x t
⋊ ʃ t eː t ə n ⋉	⋊ ʃ t oː t ə n ⋉			ʃ t eː t ə n	ɡ ə ʃ t oː t ə n
⋊ ʃ t eː t ə n ⋉	⋊ ʃ t aː t ə n ⋉			ʃ t eː t ə n	ɡ ə ʃ t aː t ə n
⋊ ʃ t ɛ ŋ k ə n ⋉	⋊ ʃ t ɛ ŋ k t ⋉	0.5185102643609654	8998.0	ʃ t ɛ ŋ k ə n	ɡ ə ʃ t ɛ ŋ k t
⋊ ʃ t ɛ ŋ k ə n ⋉	⋊ ʃ t a x t ⋉			ʃ t ɛ ŋ k ə n	ɡ ə ʃ t a x t
⋊ ʃ t r ɪ ŋ ə n ⋉	⋊ ʃ t r ʊ ŋ ə n ⋉	0.41292331504080215	10043.0	ʃ t r ɪ ŋ ə n	ɡ ə ʃ t r ʊ ŋ ə n
⋊ ʃ t r ɪ ŋ ə n ⋉	⋊ ʃ t r a ŋ ə n ⋉			ʃ t r ɪ ŋ ə n	ɡ ə ʃ t r a ŋ ə n
⋊ t a i d ə n ⋉	⋊ t a i d ə t ⋉	0.5867264995521027	8150.0	t ai̯ d ə n	ɡ ə t ai̯ d ə t
⋊ t a i d ə n ⋉	⋊ t iː d ə n ⋉	0.38715984422950556	10284.0	t ai̯ d ə n	ɡ ə t iː d ə n
⋊ t a i ə n ⋉	⋊ t a i t ⋉	0.8663704479491715	3117.0	t ai̯ ə n	ɡ ə t ai̯ t
⋊ t a i ə n ⋉	⋊ t iː n ⋉	0.5538265108961722	8685.0	t ai̯ ə n	ɡ ə t iː n
⋊ t a l ə n ⋉	⋊ t a l t ⋉	0.8026553808099589	4275.0	t a l ə n	ɡ ə t a l t
⋊ t a l ə n ⋉	⋊ t a l ə n ⋉	0.05552534483781792	14584.0	t a l ə n	ɡ ə t a l ə n
⋊ t ɛ ŋ k ə n ⋉	⋊ t ɛ ŋ k t ⋉	0.5185102643609654	8998.0	t ɛ ŋ k ə n	ɡ ə t ɛ ŋ k t
⋊ t ɛ ŋ k ə n ⋉	⋊ t a x t ⋉			t ɛ ŋ k ə n	ɡ ə t a x t
⋊ t r a i f ə n ⋉	⋊ t r a i f t ⋉	0.6588543512364848	7581.0	t r ai̯ f ə n	ɡ ə t r ai̯ f t
⋊ t r a i f ə n ⋉	⋊ t r iː f ə n ⋉			t r ai̯ f ə n	ɡ ə t r iː f ə n
⋊ t r ɛ n d ə n ⋉	⋊ t r ɛ n d ə t ⋉	0.5075916449468018	9101.0	t r ɛ n d ə n	ɡ ə t r ɛ n d ə t
⋊ t r ɛ n d ə n ⋉	⋊ t r a n d ə t ⋉			t r ɛ n d ə n	ɡ ə t r a n d ə t
⋊ t r ɛ s t ə n ⋉	⋊ t r ɛ s t ə t ⋉	0.7240838608479855	6603.0	t r ɛ s t ə n	ɡ ə t r ɛ s t ə t
⋊ t r ɛ s t ə n ⋉	⋊ t r ɔ s t ə n ⋉	0.32937785815918696	10664.0	t r ɛ s t ə n	ɡ ə t r ɔ s t ə n
⋊ t s a i d ə n ⋉	⋊ t s a i d ə t ⋉	0.5867264995521027	8150.0	t s ai̯ d ə n	ɡ ə t s ai̯ d ə t
⋊ t s a i d ə n ⋉	⋊ t s iː d ə n ⋉	0.3900233292526348	10213.0	t s ai̯ d ə n	ɡ ə t s iː d ə n
⋊ t s a u ə n ⋉	⋊ t s a u t ⋉	0.8456014512148586	4002.0	t s au̯ ə n	ɡ ə t s au̯ t
⋊ t s a u ə n ⋉	⋊ t s a u n ⋉	0.01888021421963113	21136.0	t s au̯ ə n	ɡ ə t s au̯ n
⋊ t s a u f ə n ⋉	⋊ t s a u f t ⋉	0.6588543512364848	7581.0	t s au̯ f ə n	ɡ ə t s au̯ f t
⋊ t s a u f ə n ⋉	⋊ t s iː f ə n ⋉			t s au̯ f ə n	ɡ ə t s iː f ə n
⋊ t s ɪ ŋ ə n ⋉	⋊ t s ɪ ŋ t ⋉	0.7609943652161982	6243.0	t s ɪ ŋ ə n	ɡ ə t s ɪ ŋ t
⋊ t s ɪ ŋ ə n ⋉	⋊ t s ʊ ŋ ə n ⋉	0.1709047622604463	11940.0	t s ɪ ŋ ə n	ɡ ə t s ʊ ŋ ə n
⋊ t s v a i ə n ⋉	⋊ t s v a i t ⋉	0.8663704479491715	3117.0	t s v ai̯ ə n	ɡ ə t s v ai̯ t
⋊ t s v a i ə n ⋉	⋊ t s v a i n ⋉	0.01888021421963113	21136.0	t s v ai̯ ə n	ɡ ə t s v ai̯ n
⋊ t s v ɛ r ə n ⋉	⋊ t s v ɛ r t ⋉	0.9587772231980403	1418.0	t s v ɛ r ə n	ɡ ə t s v ɛ r t
⋊ t s v ɛ r ə n ⋉	⋊ t s v ɔ r ə n ⋉	0.12331812254280558	12455.0	t s v ɛ r ə n	ɡ ə t s v ɔ r ə n
⋊ ʊ m a i ə n ⋉	⋊ ʊ m a i t ⋉	0.8663704479491715	3117.0	ʊ m ai̯ ə n	ɡ ə ʊ m ai̯ t
⋊ v a i ʃ ə n ⋉	⋊ v a i ʃ t ⋉	0.7069791428268694	6876.0	v ai̯ ʃ ə n	ɡ ə v ai̯ ʃ t
⋊ v a i ʃ ə n ⋉	⋊ v iː ʃ ə n ⋉			v ai̯ ʃ ə n	ɡ ə v iː ʃ ə n
⋊ v a u f ə n ⋉	⋊ v a u f t ⋉	0.6588543512364848	7581.0	v au̯ f ə n	ɡ ə v au̯ f t
⋊ v a u f ə n ⋉	⋊ v ɔ f ə n ⋉			v au̯ f ə n	ɡ ə v ɔ f ə n
⋊ v ɪ ŋ ə n ⋉	⋊ v ʊ ŋ ə n ⋉	0.28278369228754324	11022.0	v ɪ ŋ ə n	ɡ ə v ʊ ŋ ə n
⋊ v ɪ ŋ ə n ⋉	⋊ v ɪ ŋ t ⋉	0.7609943652161982	6243.0	v ɪ ŋ ə n	ɡ ə v ɪ ŋ t
⋊ v ʏ l ə n ⋉	⋊ v ʏ l t ⋉	0.8026553808099589	4275.0	v ʏ l ə n	ɡ ə v ʏ l t
⋊ v ʏ l ə n ⋉	⋊ v ʏ l ə n ⋉	0.05552534483781792	14584.0	v ʏ l ə n	ɡ ə v ʏ l ə n
⋊ z a i d ə n ⋉	⋊ z a i d ə t ⋉	0.5867264995521027	8150.0	z ai̯ d ə n	ɡ ə z ai̯ d ə t
⋊ z a i d ə n ⋉	⋊ z ɔ t ə n ⋉			z ai̯ d ə n	ɡ ə z ɔ t ə n
⋊ z a i ə n ⋉	⋊ z a i t ⋉	0.8663704479491715	3117.0	z ai̯ ə n	ɡ ə z ai̯ t
⋊ z a i ə n ⋉	⋊ z ɔ t ə n ⋉			z ai̯ ə n	ɡ ə z ɔ t ə n
⋊ z a u ə n ⋉	⋊ z a u t ⋉	0.8456014512148586	4002.0	z au̯ ə n	ɡ ə z au̯ t
⋊ z a u ə n ⋉	⋊ z ɔ t ⋉			z au̯ ə n	ɡ ə z ɔ t
⋊ z iː ə n ⋉	⋊ z iː t ⋉	0.763432245921466	6223.0	z iːə n	ɡ ə z iː t
⋊ z iː ə n ⋉	⋊ z ɔ t ⋉			z iːə n	ɡ ə z ɔ t
⋊ z ɪ s ə n ⋉	⋊ z ʊ s ə n ⋉			z ɪ s ə n	ɡ ə z ʊ s ə n
⋊ z ɪ s ə n ⋉	⋊ z ɔ s ə n ⋉			z ɪ s ə n	ɡ ə z ɔ s ə n
⋊ ʒ ɛ ŋ ə n ⋉	⋊ ʒ ɛ ŋ t ⋉	0.7915953685536075	5051.0	ʒ ɛ ŋ ə n	ɡ ə ʒ ɛ ŋ t
⋊ ʒ ɛ ŋ ə n ⋉	⋊ ʒ ɛ ŋ ə n ⋉	0.05834372713216125	14394.0	ʒ ɛ ŋ ə n	ɡ ə ʒ ɛ ŋ ə n
