lemma_ipa	past_ipa	celex_freq	lemma_orth	past_orth	past_type	past_type2	notes	lemma_unicode	past_unicode
d ɪ k l ˈaɪ n	d ɪ k l ˈaɪ n d	584	decline	declined	∅ -> d	regular	NA	dɪklˈYn	dɪklˈYnd
p ˈa ɹ t	p ˈa ɹ t ɨ d	579	part	parted	∅ -> ɨ d	regular	NA	pˈaɹt	pˈaɹtɨd
s ˈi z	s ˈi z d	579	seize	seized	∅ -> d	regular	NA	sˈiz	sˈizd
s ɪ k j ˈu ɹ	s ɪ k j ˈu ɹ d	579	secure	secured	∅ -> d	regular	NA	sɪkjˈuɹ	sɪkjˈuɹd
oʊ v ɚ k ˈʌ m	oʊ v ɚ k ˈeɪ m	578	overcome	overcame	ʌ -> eɪ	irregular	NA	ovɚkˈʌm	ovɚkˈem
s w ˈeɪ ɹ	s w ˈoʊ ɹ	576	swear	swore	eɪ -> oʊ	irregular	NA	swˈeɹ	swˈoɹ
k ə n s ˈi l	k ə n s ˈi l d	575	conceal	concealed	∅ -> d	regular	NA	kənsˈil	kənsˈild
d ɹ ˈɪ f t	d ɹ ˈɪ f t ɨ d	573	drift	drifted	∅ -> ɨ d	regular	NA	dɹˈɪft	dɹˈɪftɨd
d ɪ p ˈɛ n d	d ɪ p ˈɛ n d ɨ d	572	depend	depended	∅ -> ɨ d	regular	NA	dɪpˈɛnd	dɪpˈɛndɨd
b ˈoʊ ɹ	b ˈoʊ ɹ d	568	bore	bored	∅ -> d	regular	NA	bˈoɹ	bˈoɹd
d ɪ s t ˈɪ ŋ g w ɪ ʃ	d ɪ s t ˈɪ ŋ g w ɪ ʃ t	568	distinguish	distinguished	∅ -> t	regular	NA	dɪstˈɪŋgwɪʃ	dɪstˈɪŋgwɪʃt
d ˈaɪ n	d ˈaɪ n d	563	dine	dined	∅ -> d	regular	NA	dˈYn	dˈYnd
k ə n s ˈʌ l t	k ə n s ˈʌ l t ɨ d	562	consult	consulted	∅ -> ɨ d	regular	NA	kənsˈʌlt	kənsˈʌltɨd
ʃ ˈa k	ʃ ˈa k t	562	shock	shocked	∅ -> t	regular	NA	ʃˈak	ʃˈakt
ɹ ɪ t ˈaɪ ɚ	ɹ ɪ t ˈaɪ ɚ d	561	retire	retired	∅ -> d	regular	NA	ɹɪtˈYɚ	ɹɪtˈYɚd
t ɹ ˈʌ b ə l	t ɹ ˈʌ b ə l d	560	trouble	troubled	∅ -> d	regular	NA	tɹˈʌbəl	tɹˈʌbəld
g ɹ ˈi t	g ɹ ˈi t ɨ d	559	greet	greeted	∅ -> ɨ d	regular	NA	gɹˈit	gɹˈitɨd
ˈɪ l ə s t ɹ eɪ t	ˈɪ l ə s t ɹ eɪ t ɨ d	557	illustrate	illustrated	∅ -> ɨ d	regular	NA	ˈɪləstɹet	ˈɪləstɹetɨd
f ˈɪ ʃ	f ˈɪ ʃ t	557	fish	fished	∅ -> t	regular	NA	fˈɪʃ	fˈɪʃt
l ˈɔ ŋ	l ˈɔ ŋ d	556	long	longed	∅ -> d	regular	NA	lˈɔŋ	lˈɔŋd
h ˈaɪ ɚ	h ˈaɪ ɚ d	555	hire	hired	∅ -> d	regular	NA	hˈYɚ	hˈYɚd
m ˈæ tʃ	m ˈæ tʃ t	555	match	matched	∅ -> t	regular	NA	mˈæC	mˈæCt
t ɹ æ n s f ˈɝ	t ɹ æ n s f ˈɝ d	555	transfer	transferred	∅ -> d	regular	NA	tɹænsfˈɝ	tɹænsfˈɝd
b ˈa ɹ oʊ	b ˈa ɹ oʊ d	554	borrow	borrowed	∅ -> d	regular	NA	bˈaɹo	bˈaɹod
g ˈeɪ z	g ˈeɪ z d	552	gaze	gazed	∅ -> d	regular	NA	gˈez	gˈezd
ɹ ɪ m ˈa ɹ k	ɹ ɪ m ˈa ɹ k t	552	remark	remarked	∅ -> t	regular	NA	ɹɪmˈaɹk	ɹɪmˈaɹkt
s t ˈoʊ ɹ	s t ˈoʊ ɹ d	551	store	stored	∅ -> d	regular	NA	stˈoɹ	stˈoɹd
ɪ n t ˈaɪ t ə l	ɪ n t ˈaɪ t ə l d	549	entitle	entitled	∅ -> d	regular	NA	ɪntˈYtəl	ɪntˈYtəld
l ˈi p	l ˈɛ p t	549	leap	lept	i p -> ɛ p t	irregular	NA	lˈip	lˈɛpt
ɪ k s p l ˈɔɪ t	ɪ k s p l ˈɔɪ t ɨ d	548	exploit	exploited	∅ -> ɨ d	regular	NA	ɪksplˈOt	ɪksplˈOtɨd
k ə n v ˈɪ n s	k ə n v ˈɪ n s t	548	convince	convinced	∅ -> t	regular	NA	kənvˈɪns	kənvˈɪnst
b ˈɛ g	b ˈɛ g d	546	beg	begged	∅ -> d	regular	NA	bˈɛg	bˈɛgd
s ˈaɪ	s ˈaɪ d	546	sigh	sighed	∅ -> d	regular	NA	sˈY	sˈYd
tʃ ˈæ l ə n dʒ	tʃ ˈæ l ə n dʒ d	545	challenge	challenged	∅ -> d	regular	NA	CˈælənJ	CˈælənJd
f ˈaʊ n d	f ˈaʊ n d ɨ d	544	found	founded	∅ -> ɨ d	regular	NA	fˈWnd	fˈWndɨd
k ˈæ l k j ʊ l eɪ t	k ˈæ l k j ʊ l eɪ t ɨ d	542	calculate	calculated	∅ -> ɨ d	regular	NA	kˈælkjʊlet	kˈælkjʊletɨd
h ˈɛ z ə t eɪ t	h ˈɛ z ə t eɪ t ɨ d	540	hesitate	hesitated	∅ -> ɨ d	regular	NA	hˈɛzətet	hˈɛzətetɨd
ɪ l ˈɪ m ə n eɪ t	ɪ l ˈɪ m ə n eɪ t ɨ d	539	eliminate	eliminated	∅ -> ɨ d	regular	NA	ɪlˈɪmənet	ɪlˈɪmənetɨd
v j ˈu	v j ˈu d	539	view	viewed	∅ -> d	regular	NA	vjˈu	vjˈud
p l ˈæ n t	p l ˈæ n t ɨ d	538	plant	planted	∅ -> ɨ d	regular	NA	plˈænt	plˈæntɨd
w ˈeɪ	w ˈeɪ d	538	weigh	weighed	∅ -> d	regular	NA	wˈe	wˈed
f ˈɔ s t ɚ	f ˈɔ s t ɚ d	535	foster	fostered	∅ -> d	regular	NA	fˈɔstɚ	fˈɔstɚd
ʌ n d ɚ t ˈeɪ k	ʌ n d ɚ t ˈʊ k	535	undertake	undertook	eɪ -> ʊ	irregular	NA	ʌndɚtˈek	ʌndɚtˈʊk
d ɹ ˈeɪ n	d ɹ ˈeɪ n d	534	drain	drained	∅ -> d	regular	NA	dɹˈen	dɹˈend
m ˈa ɹ tʃ	m ˈa ɹ tʃ t	534	march	marched	∅ -> t	regular	NA	mˈaɹC	mˈaɹCt
ɹ ɪ s p ˈɛ k t	ɹ ɪ s p ˈɛ k t ɨ d	533	respect	respected	∅ -> ɨ d	regular	NA	ɹɪspˈɛkt	ɹɪspˈɛktɨd
s t ˈa ɹ t ə l	s t ˈa ɹ t ə l d	532	startle	startled	∅ -> d	regular	NA	stˈaɹtəl	stˈaɹtəld
ɪ n v ˈɛ s t	ɪ n v ˈɛ s t ɨ d	525	invest	invested	∅ -> ɨ d	regular	NA	ɪnvˈɛst	ɪnvˈɛstɨd
l ˈæ n d	l ˈæ n d ɨ d	524	land	landed	∅ -> ɨ d	regular	NA	lˈænd	lˈændɨd
l ˈɪ s t	l ˈɪ s t ɨ d	524	list	listed	∅ -> ɨ d	regular	NA	lˈɪst	lˈɪstɨd
k ˈa n s t ə t u t	k ˈa n s t ə t u t ɨ d	523	constitute	constituted	∅ -> ɨ d	regular	NA	kˈanstətut	kˈanstətutɨd
ˈɛ k s ɚ s aɪ z	ˈɛ k s ɚ s aɪ z d	522	exercise	exercised	∅ -> d	regular	NA	ˈɛksɚsYz	ˈɛksɚsYzd
s p ˈɔɪ l	s p ˈɔɪ l d	522	spoil	spoiled	∅ -> d	regular	NA	spˈOl	spˈOld
s p ˈɔɪ l	s p ˈɔɪ l t	522	spoil	spoilt	∅ -> t	irregular	***double	spˈOl	spˈOlt
ə d v ˈæ n s	ə d v ˈæ n s t	521	advance	advanced	∅ -> t	regular	NA	ədvˈæns	ədvˈænst
ɹ ˈɛ n t	ɹ ˈɛ n t ɨ d	520	rent	rented	∅ -> ɨ d	regular	NA	ɹˈɛnt	ɹˈɛntɨd
s ə s t ˈeɪ n	s ə s t ˈeɪ n d	519	sustain	sustained	∅ -> d	regular	NA	səstˈen	səstˈend
k ə l ˈæ p s	k ə l ˈæ p s t	518	collapse	collapsed	∅ -> t	regular	NA	kəlˈæps	kəlˈæpst
k ə n d ˈɛ m	k ə n d ˈɛ m d	518	condemn	condemned	∅ -> d	regular	NA	kəndˈɛm	kəndˈɛmd
g eɪ ɹ ə n t ˈi	g eɪ ɹ ə n t ˈi d	516	guarantee	guaranteed	∅ -> d	regular	NA	geɹəntˈi	geɹəntˈid
t ˈeɪ ɹ ɪ f aɪ	t ˈeɪ ɹ ɪ f aɪ d	516	terrify	terrified	∅ -> d	regular	NA	tˈeɹɪfY	tˈeɹɪfYd
p ɹ ɪ d ˈɪ k t	p ɹ ɪ d ˈɪ k t ɨ d	515	predict	predicted	∅ -> ɨ d	regular	NA	pɹɪdˈɪkt	pɹɪdˈɪktɨd
h ˈʌ n t	h ˈʌ n t ɨ d	514	hunt	hunted	∅ -> ɨ d	regular	NA	hˈʌnt	hˈʌntɨd
t ɹ ˈɛ m b ə l	t ɹ ˈɛ m b ə l d	512	tremble	trembled	∅ -> d	regular	NA	tɹˈɛmbəl	tɹˈɛmbəld
t ɹ æ n s f ˈoʊ ɹ m	t ɹ æ n s f ˈoʊ ɹ m d	512	transform	transformed	∅ -> d	regular	NA	tɹænsfˈoɹm	tɹænsfˈoɹmd
k ə n s t ɹ ˈʌ k t	k ə n s t ɹ ˈʌ k t ɨ d	511	construct	constructed	∅ -> ɨ d	regular	NA	kənstɹˈʌkt	kənstɹˈʌktɨd
l ˈaɪ n	l ˈaɪ n d	511	line	lined	∅ -> d	regular	NA	lˈYn	lˈYnd
s t ɹ ˈɛ ŋ θ ə n	s t ɹ ˈɛ ŋ θ ə n d	511	strengthen	strengthened	∅ -> d	regular	NA	stɹˈɛŋθən	stɹˈɛŋθənd
ɹ i ˈæ k t	ɹ i ˈæ k t ɨ d	510	react	reacted	∅ -> ɨ d	regular	NA	ɹiˈækt	ɹiˈæktɨd
dʒ ˈʌ s t ə f aɪ	dʒ ˈʌ s t ə f aɪ d	509	justify	justified	∅ -> d	regular	NA	JˈʌstəfY	JˈʌstəfYd
k ə m ˈæ n d	k ə m ˈæ n d ɨ d	508	command	commanded	∅ -> ɨ d	regular	NA	kəmˈænd	kəmˈændɨd
f ˈɪ g j ɚ	f ˈɪ g j ɚ d	507	figure	figured	∅ -> d	regular	NA	fˈɪgjɚ	fˈɪgjɚd
s n ˈæ p	s n ˈæ p t	506	snap	snapped	∅ -> t	regular	NA	snˈæp	snˈæpt
p ɹ ˈeɪ	p ɹ ˈeɪ d	505	pray	prayed	∅ -> d	regular	NA	pɹˈe	pɹˈed
b ˈæ k	b ˈæ k t	504	back	backed	∅ -> t	regular	NA	bˈæk	bˈækt
f ə l f ˈɪ l	f ə l f ˈɪ l d	504	fulfil	fulfilled	∅ -> d	regular	NA	fəlfˈɪl	fəlfˈɪld
b ˈæ l ə n s	b ˈæ l ə n s t	501	balance	balanced	∅ -> t	regular	NA	bˈæləns	bˈælənst
w ˈi p	w ˈɛ p t	499	weep	wept	i p -> ɛ p t	irregular	NA	wˈip	wˈɛpt
h ˈi t	h ˈi t ɨ d	498	heat	heated	∅ -> ɨ d	regular	NA	hˈit	hˈitɨd
k ɹ ˈɪ t ɪ s aɪ z	k ɹ ˈɪ t ɪ s aɪ z d	498	criticize	criticized	∅ -> d	regular	NA	kɹˈɪtɪsYz	kɹˈɪtɪsYzd
ɹ ˈɛ dʒ ɪ s t ɚ	ɹ ˈɛ dʒ ɪ s t ɚ d	498	register	registered	∅ -> d	regular	NA	ɹˈɛJɪstɚ	ɹˈɛJɪstɚd
s k w ˈi z	s k w ˈi z d	497	squeeze	squeezed	∅ -> d	regular	NA	skwˈiz	skwˈizd
m æ n j ʊ f ˈæ k tʃ ɚ	m æ n j ʊ f ˈæ k tʃ ɚ d	496	manufacture	manufactured	∅ -> d	regular	NA	mænjʊfˈækCɚ	mænjʊfˈækCɚd
p ˈoʊ z	p ˈoʊ z d	496	pose	posed	∅ -> d	regular	NA	pˈoz	pˈozd
l ˈoʊ d	l ˈoʊ d ɨ d	493	load	loaded	∅ -> ɨ d	regular	NA	lˈod	lˈodɨd
b ˈaɪ t	b ˈɪ t	492	bite	bit	aɪ -> ɪ	irregular	NA	bˈYt	bˈɪt
p ˈi ɹ	p ˈi ɹ d	492	peer	peered	∅ -> d	regular	NA	pˈiɹ	pˈiɹd
g ɹ ˈaɪ n d	g ɹ ˈaʊ n d	491	grind	ground	aɪ -> aʊ	irregular	NA	gɹˈYnd	gɹˈWnd
ɪ n t ə ɹ ˈʌ p t	ɪ n t ə ɹ ˈʌ p t ɨ d	491	interrupt	interrupted	∅ -> ɨ d	regular	NA	ɪntəɹˈʌpt	ɪntəɹˈʌptɨd
d ˈʌ b ə l	d ˈʌ b ə l d	490	double	doubled	∅ -> d	regular	NA	dˈʌbəl	dˈʌbəld
ə b l ˈaɪ dʒ	ə b l ˈaɪ dʒ d	490	oblige	obliged	∅ -> d	regular	NA	əblˈYJ	əblˈYJd
k l ˈɪ ŋ	k l ˈʌ ŋ	489	cling	clung	ɪ -> ʌ	irregular	NA	klˈɪŋ	klˈʌŋ
l ˈɛ n d	l ˈɛ n t	489	lend	lent	d -> t	irregular	NA	lˈɛnd	lˈɛnt
ɪ k s p l ˈoʊ ɹ	ɪ k s p l ˈoʊ ɹ d	487	explore	explored	∅ -> d	regular	NA	ɪksplˈoɹ	ɪksplˈoɹd
ˈoʊ	ˈoʊ d	486	owe	owed	∅ -> d	regular	NA	ˈo	ˈod
f l ˈæ ʃ	f l ˈæ ʃ t	486	flash	flashed	∅ -> t	regular	NA	flˈæʃ	flˈæʃt
f l ˈi	f l ˈɛ d	482	flee	fled	i -> ɛ d	irregular	NA	flˈi	flˈɛd
g ɹ ˈɪ n	g ɹ ˈɪ n d	479	grin	grinned	∅ -> d	regular	NA	gɹˈɪn	gɹˈɪnd
d ɪ z ˈɝ v	d ɪ z ˈɝ v d	475	deserve	deserved	∅ -> d	regular	NA	dɪzˈɝv	dɪzˈɝvd
f ˈeɪ v ɚ	f ˈeɪ v ɚ d	473	favour	favoured	∅ -> d	regular	NA	fˈevɚ	fˈevɚd
oʊ b ˈeɪ	oʊ b ˈeɪ d	473	obey	obeyed	∅ -> d	regular	NA	obˈe	obˈed
s t ɹ ˈɛ s	s t ɹ ˈɛ s t	473	stress	stressed	∅ -> t	regular	NA	stɹˈɛs	stɹˈɛst
k ə m p ˈoʊ z	k ə m p ˈoʊ z d	472	compose	composed	∅ -> d	regular	NA	kəmpˈoz	kəmpˈozd
ɹ ˈeɪ n dʒ	ɹ ˈeɪ n dʒ d	471	range	ranged	∅ -> d	regular	NA	ɹˈenJ	ɹˈenJd
ə m j ˈu z	ə m j ˈu z d	470	amuse	amused	∅ -> d	regular	NA	əmjˈuz	əmjˈuzd
k ə m p ˈi t	k ə m p ˈi t ɨ d	469	compete	competed	∅ -> ɨ d	regular	NA	kəmpˈit	kəmpˈitɨd
ə dʒ ˈʌ s t	ə dʒ ˈʌ s t ɨ d	468	adjust	adjusted	∅ -> ɨ d	regular	NA	əJˈʌst	əJˈʌstɨd
k ɹ ˈi p	k ɹ ˈɛ p t	466	creep	crept	i p -> ɛ p t	irregular	NA	kɹˈip	kɹˈɛpt
d ɪ f ˈi t	d ɪ f ˈi t ɨ d	465	defeat	defeated	∅ -> ɨ d	regular	NA	dɪfˈit	dɪfˈitɨd
d ɪ m ˈɪ n ɪ ʃ	d ɪ m ˈɪ n ɪ ʃ t	465	diminish	diminished	∅ -> t	regular	NA	dɪmˈɪnɪʃ	dɪmˈɪnɪʃt
ə p ˈɔɪ n t	ə p ˈɔɪ n t ɨ d	465	appoint	appointed	∅ -> ɨ d	regular	NA	əpˈOnt	əpˈOntɨd
ə d ˈæ p t	ə d ˈæ p t ɨ d	464	adapt	adapted	∅ -> ɨ d	regular	NA	ədˈæpt	ədˈæptɨd
ɪ n k w ˈaɪ ɚ	ɪ n k w ˈaɪ ɚ d	464	inquire	inquired	∅ -> d	regular	NA	ɪnkwˈYɚ	ɪnkwˈYɚd
k ə n f ɹ ˈʌ n t	k ə n f ɹ ˈʌ n t ɨ d	464	confront	confronted	∅ -> ɨ d	regular	NA	kənfɹˈʌnt	kənfɹˈʌntɨd
p ɹ ə t ˈɛ s t	p ɹ ə t ˈɛ s t ɨ d	463	protest	protested	∅ -> ɨ d	regular	NA	pɹətˈɛst	pɹətˈɛstɨd
ɪ m b ˈeɪ ɹ ə s	ɪ m b ˈeɪ ɹ ə s t	461	embarrass	embarrassed	∅ -> t	regular	NA	ɪmbˈeɹəs	ɪmbˈeɹəst
k ˈu l	k ˈu l d	461	cool	cooled	∅ -> d	regular	NA	kˈul	kˈuld
k ˈæ p tʃ ɚ	k ˈæ p tʃ ɚ d	460	capture	captured	∅ -> d	regular	NA	kˈæpCɚ	kˈæpCɚd
d ɪ l ˈeɪ	d ɪ l ˈeɪ d	459	delay	delayed	∅ -> d	regular	NA	dɪlˈe	dɪlˈed
g ˈaɪ d	g ˈaɪ d ɨ d	459	guide	guided	∅ -> ɨ d	regular	NA	gˈYd	gˈYdɨd
ɪ n t ˈɝ p ɹ ɪ t	ɪ n t ˈɝ p ɹ ɪ t ɨ d	459	interpret	interpreted	∅ -> ɨ d	regular	NA	ɪntˈɝpɹɪt	ɪntˈɝpɹɪtɨd
s p ˈɪ n	s p ˈʌ n	458	spin	spun	ɪ -> ʌ	irregular	NA	spˈɪn	spˈʌn
k ə n f ˈɛ s	k ə n f ˈɛ s t	456	confess	confessed	∅ -> t	regular	NA	kənfˈɛs	kənfˈɛst
t ɹ ˈæ p	t ɹ ˈæ p t	456	trap	trapped	∅ -> t	regular	NA	tɹˈæp	tɹˈæpt
k ɹ ˈɔ l	k ɹ ˈɔ l d	454	crawl	crawled	∅ -> d	regular	NA	kɹˈɔl	kɹˈɔld
ɹ ɪ z ˈɛ m b ə l	ɹ ɪ z ˈɛ m b ə l d	453	resemble	resembled	∅ -> d	regular	NA	ɹɪzˈɛmbəl	ɹɪzˈɛmbəld
n ɪ g l ˈɛ k t	n ɪ g l ˈɛ k t ɨ d	452	neglect	neglected	∅ -> ɨ d	regular	NA	nɪglˈɛkt	nɪglˈɛktɨd
g ɹ ˈæ s p	g ɹ ˈæ s p t	451	grasp	grasped	∅ -> t	regular	NA	gɹˈæsp	gɹˈæspt
ɹ ɪ z ˈa l v	ɹ ɪ z ˈa l v d	451	resolve	resolved	∅ -> d	regular	NA	ɹɪzˈalv	ɹɪzˈalvd
ɹ ɪ v ˈɝ s	ɹ ɪ v ˈɝ s t	450	reverse	reversed	∅ -> t	regular	NA	ɹɪvˈɝs	ɹɪvˈɝst
d ɪ s ˈɛ n d	d ɪ s ˈɛ n d ɨ d	448	descend	descended	∅ -> ɨ d	regular	NA	dɪsˈɛnd	dɪsˈɛndɨd
d ɹ ˈaʊ n	d ɹ ˈaʊ n d	448	drown	drowned	∅ -> d	regular	NA	dɹˈWn	dɹˈWnd
b ˈɛ t	b ˈɛ t	447	bet	bet	no_change	irregular	NA	bˈɛt	bˈɛt
h ˈeɪ ɹ i	h ˈeɪ ɹ i d	446	harry	harried	∅ -> d	regular	NA	hˈeɹi	hˈeɹid
ɪ m b ɹ ˈeɪ s	ɪ m b ɹ ˈeɪ s t	446	embrace	embraced	∅ -> t	regular	NA	ɪmbɹˈes	ɪmbɹˈest
m ˈɝ d ɚ	m ˈɝ d ɚ d	445	murder	murdered	∅ -> d	regular	NA	mˈɝdɚ	mˈɝdɚd
k ˈa m ɛ n t	k ˈa m ɛ n t ɨ d	444	comment	commented	∅ -> ɨ d	regular	NA	kˈamɛnt	kˈamɛntɨd
ʃ ɹ ˈʌ g	ʃ ɹ ˈʌ g d	444	shrug	shrugged	∅ -> d	regular	NA	ʃɹˈʌg	ʃɹˈʌgd
w ˈu n d	w ˈu n d ɨ d	444	wound	wounded	∅ -> ɨ d	regular	NA	wˈund	wˈundɨd
d ˈeɪ t	d ˈeɪ t ɨ d	442	date	dated	∅ -> ɨ d	regular	NA	dˈet	dˈetɨd
p ˈa ɹ k	p ˈa ɹ k t	442	park	parked	∅ -> t	regular	NA	pˈaɹk	pˈaɹkt
ə b dʒ ˈɛ k t	ə b dʒ ˈɛ k t ɨ d	439	object	objected	∅ -> ɨ d	regular	NA	əbJˈɛkt	əbJˈɛktɨd
ɪ v ˈa l v	ɪ v ˈa l v d	438	evolve	evolved	∅ -> d	regular	NA	ɪvˈalv	ɪvˈalvd
d ɪ t ˈɛ k t	d ɪ t ˈɛ k t ɨ d	436	detect	detected	∅ -> ɨ d	regular	NA	dɪtˈɛkt	dɪtˈɛktɨd
m ˈɛ l t	m ˈɛ l t ɨ d	436	melt	melted	∅ -> ɨ d	regular	NA	mˈɛlt	mˈɛltɨd
s m ˈæ ʃ	s m ˈæ ʃ t	436	smash	smashed	∅ -> t	regular	NA	smˈæʃ	smˈæʃt
ɪ n h ˈeɪ ɹ ɪ t	ɪ n h ˈeɪ ɹ ɪ t ɨ d	435	inherit	inherited	∅ -> ɨ d	regular	NA	ɪnhˈeɹɪt	ɪnhˈeɹɪtɨd
ɪ k s tʃ ˈeɪ n dʒ	ɪ k s tʃ ˈeɪ n dʒ d	433	exchange	exchanged	∅ -> d	regular	NA	ɪksCˈenJ	ɪksCˈenJd
b l ˈi d	b l ˈɛ d	432	bleed	bled	i -> ɛ	irregular	NA	blˈid	blˈɛd
k ə n f ˈaɪ n	k ə n f ˈaɪ n d	431	confine	confined	∅ -> d	regular	NA	kənfˈYn	kənfˈYnd
d ɪ z ˈaɪ ɚ	d ɪ z ˈaɪ ɚ d	430	desire	desired	∅ -> d	regular	NA	dɪzˈYɚ	dɪzˈYɚd
ɹ ˈu ɪ n	ɹ ˈu ɪ n d	430	ruin	ruined	∅ -> d	regular	NA	ɹˈuɪn	ɹˈuɪnd
t ˈæ k ə l	t ˈæ k ə l d	430	tackle	tackled	∅ -> d	regular	NA	tˈækəl	tˈækəld
s k ɹ ˈæ tʃ	s k ɹ ˈæ tʃ t	429	scratch	scratched	∅ -> t	regular	NA	skɹˈæC	skɹˈæCt
w ˈoʊ ɹ m	w ˈoʊ ɹ m d	429	warm	warmed	∅ -> d	regular	NA	wˈoɹm	wˈoɹmd
ɪ n s p ˈaɪ ɚ	ɪ n s p ˈaɪ ɚ d	428	inspire	inspired	∅ -> d	regular	NA	ɪnspˈYɚ	ɪnspˈYɚd
p ɚ s ˈɪ s t	p ɚ s ˈɪ s t ɨ d	428	persist	persisted	∅ -> ɨ d	regular	NA	pɚsˈɪst	pɚsˈɪstɨd
ʌ n d ɚ l ˈaɪ	ʌ n d ɚ l ˈeɪ	428	underlie	underlay	aɪ -> eɪ	irregular	NA	ʌndɚlˈY	ʌndɚlˈe
ə ɹ ˈaʊ z	ə ɹ ˈaʊ z d	427	arouse	aroused	∅ -> d	regular	NA	əɹˈWz	əɹˈWzd
k ə m j ˈu n ɪ k eɪ t	k ə m j ˈu n ɪ k eɪ t ɨ d	427	communicate	communicated	∅ -> ɨ d	regular	NA	kəmjˈunɪket	kəmjˈunɪketɨd
s ə b m ˈɪ t	s ə b m ˈɪ t ɨ d	427	submit	submitted	∅ -> ɨ d	regular	NA	səbmˈɪt	səbmˈɪtɨd
f ˈaɪ n æ n s	f ˈaɪ n æ n s t	426	finance	financed	∅ -> t	regular	NA	fˈYnæns	fˈYnænst
b l ˈa k	b l ˈa k t	425	block	blocked	∅ -> t	regular	NA	blˈak	blˈakt
b ɹ ˈʌ ʃ	b ɹ ˈʌ ʃ t	425	brush	brushed	∅ -> t	regular	NA	bɹˈʌʃ	bɹˈʌʃt
ə s ˈɛ m b ə l	ə s ˈɛ m b ə l d	425	assemble	assembled	∅ -> d	regular	NA	əsˈɛmbəl	əsˈɛmbəld
f l ˈɪ ŋ	f l ˈʌ ŋ	425	fling	flung	ɪ -> ʌ	irregular	NA	flˈɪŋ	flˈʌŋ
ɹ ɪ z ˈaɪ n	ɹ ɪ z ˈaɪ n d	424	resign	resigned	∅ -> d	regular	NA	ɹɪzˈYn	ɹɪzˈYnd
b ˈeɪ k	b ˈeɪ k t	423	bake	baked	∅ -> t	regular	NA	bˈek	bˈekt
k ə n s ˈu m	k ə n s ˈu m d	423	consume	consumed	∅ -> d	regular	NA	kənsˈum	kənsˈumd
k ə n s ˈɝ n	k ə n s ˈɝ n d	421	concern	concerned	∅ -> d	regular	NA	kənsˈɝn	kənsˈɝnd
p ˈʌ n ɪ ʃ	p ˈʌ n ɪ ʃ t	421	punish	punished	∅ -> t	regular	NA	pˈʌnɪʃ	pˈʌnɪʃt
ʌ p s ˈɛ t	ʌ p s ˈɛ t	418	upset	upset	no_change	irregular	NA	ʌpsˈɛt	ʌpsˈɛt
d ɪ s t ɹ ˈɪ b j u t	d ɪ s t ɹ ˈɪ b j u t ɨ d	417	distribute	distributed	∅ -> ɨ d	regular	NA	dɪstɹˈɪbjut	dɪstɹˈɪbjutɨd
ə s ˈɛ s	ə s ˈɛ s t	417	assess	assessed	∅ -> t	regular	NA	əsˈɛs	əsˈɛst
s k ˈoʊ ɹ	s k ˈoʊ ɹ d	417	score	scored	∅ -> d	regular	NA	skˈoɹ	skˈoɹd
d ɪ s l ˈaɪ k	d ɪ s l ˈaɪ k t	415	dislike	disliked	∅ -> t	regular	NA	dɪslˈYk	dɪslˈYkt
ɪ k s k l ˈu d	ɪ k s k l ˈu d ɨ d	415	exclude	excluded	∅ -> ɨ d	regular	NA	ɪksklˈud	ɪksklˈudɨd
ɹ ɪ l ˈi v	ɹ ɪ l ˈi v d	415	relieve	relieved	∅ -> d	regular	NA	ɹɪlˈiv	ɹɪlˈivd
m ˈʌ t ɚ	m ˈʌ t ɚ d	414	mutter	muttered	∅ -> d	regular	NA	mˈʌtɚ	mˈʌtɚd
ɪ n v ˈɛ s t ə g eɪ t	ɪ n v ˈɛ s t ə g eɪ t ɨ d	412	investigate	investigated	∅ -> ɨ d	regular	NA	ɪnvˈɛstəget	ɪnvˈɛstəgetɨd
k ə m p ˈɛ l	k ə m p ˈɛ l d	410	compel	compelled	∅ -> d	regular	NA	kəmpˈɛl	kəmpˈɛld
s ə p ɹ ˈɛ s	s ə p ɹ ˈɛ s t	410	suppress	suppressed	∅ -> t	regular	NA	səpɹˈɛs	səpɹˈɛst
s ˈɛ l ə b ɹ eɪ t	s ˈɛ l ə b ɹ eɪ t ɨ d	409	celebrate	celebrated	∅ -> ɨ d	regular	NA	sˈɛləbɹet	sˈɛləbɹetɨd
d ˈɪ f ɚ	d ˈɪ f ɚ d	408	differ	differed	∅ -> d	regular	NA	dˈɪfɚ	dˈɪfɚd
ə s ˈɝ t	ə s ˈɝ t ɨ d	407	assert	asserted	∅ -> ɨ d	regular	NA	əsˈɝt	əsˈɝtɨd
h ˈɝ t ə l	h ˈɝ t ə l d	407	hurtle	hurtled	∅ -> d	regular	NA	hˈɝtəl	hˈɝtəld
k ə n v ˈeɪ	k ə n v ˈeɪ d	406	convey	conveyed	∅ -> d	regular	NA	kənvˈe	kənvˈed
n ˈi l	n ˈi l d	406	kneel	kneeled	∅ -> d	regular	***double	nˈil	nˈild
n ˈi l	n ˈɛ l t	406	kneel	knelt	i l -> ɛ l t	irregular	NA	nˈil	nˈɛlt
s p ˈa t	s p ˈa t ɨ d	406	spot	spotted	∅ -> ɨ d	regular	NA	spˈat	spˈatɨd
